country_code,country_name,state_code,state_name,city_name,external_code
IN,India,MH,Maharashtra,Dhanora,276284
IN,India,MH,Maharashtra,Dharni,276292
IN,India,MH,Maharashtra,Dindori,276276
IN,India,MH,Maharashtra,Etapalli,276330
IN,India,MH,Maharashtra,Fulambri,276353
IN,India,MH,Maharashtra,Ghansawangi,276370
IN,India,MH,Maharashtra,Godhani Railway,303128
IN,India,MH,Maharashtra,Gondpimpri,276358
IN,India,MH,Maharashtra,Goregaon,251510
IN,India,MH,Maharashtra,Guhagar,251604
IN,India,MH,Maharashtra,Hatkanangale.,290434
IN,India,MH,Maharashtra,Himayatnagar Nagarpanchayat,276606
IN,India,MH,Maharashtra,Hingna,263362
IN,India,MH,Maharashtra,Jafrabad,276372
IN,India,MH,Maharashtra,Jalkot,276373
IN,India,MH,Maharashtra,Jiwati,276355
IN,India,MH,Maharashtra,Kadegaon.,290358
IN,India,MH,Maharashtra,Kaij,259696
IN,India,MH,Maharashtra,Kalamb Nagar Panchayat,266073
IN,India,MH,Maharashtra,Kalwan,276278
IN,India,MH,Maharashtra,Kandri Kanhan Nagar Panchayat,301086
IN,India,MH,Maharashtra,Kankavli,251609
IN,India,MH,Maharashtra,Karanja Wardha,276633
IN,India,MH,Maharashtra,Kasai Dodamarg,263884
IN,India,MH,Maharashtra,Kavthemahankal,276346
IN,India,MH,Maharashtra,Khalapur,276267
IN,India,MH,Maharashtra,Khanapur,276348
IN,India,MH,Maharashtra,Khandala,276383
IN,India,MH,Maharashtra,Kondhali,303129
IN,India,MH,Maharashtra,Korchi,305207
IN,India,MH,Maharashtra,Koregaon,276381
IN,India,MH,Maharashtra,Korpana,276357
IN,India,MH,Maharashtra,Kudal,251612
IN,India,MH,Maharashtra,Kuhi Nagar Parishad,263364
IN,India,MH,Maharashtra,Kurkheda,276286
IN,India,MH,Maharashtra,Lakhandur,276324
IN,India,MH,Maharashtra,Lakhani,276323
IN,India,MH,Maharashtra,Lanja,251607
IN,India,MH,Maharashtra,Lohara (Bk),276313
IN,India,MH,Maharashtra,Lonand,276414
IN,India,MH,Maharashtra,Madha,276302
IN,India,MH,Maharashtra,Mahadula,251358
IN,India,MH,Maharashtra,Mahagaon,276309
IN,India,MH,Maharashtra,Mahur,258024
IN,India,MH,Maharashtra,Malegaon Budruk,300394
IN,India,MH,Maharashtra,Malshiras,276303
IN,India,MH,Maharashtra,Manchar,300391
IN,India,MH,Maharashtra,Mandangad,276295
IN,India,MH,Maharashtra,Mangaon,276268
IN,India,MH,Maharashtra,Manora,276294
IN,India,MH,Maharashtra,Mantha,276371
IN,India,MH,Maharashtra,Maregaon,276310
IN,India,MH,Maharashtra,Medha,276415
IN,India,MH,Maharashtra,Mhasla,251512
IN,India,MH,Maharashtra,Mohadi,276325
IN,India,MH,Maharashtra,Mokhada,276317
IN,India,MH,Maharashtra,Motala,276275
IN,India,MH,Maharashtra,Mouda,259672
IN,India,MH,Maharashtra,Muktainagar,276421
IN,India,MH,Maharashtra,Mulchera,276287
IN,India,MH,Maharashtra,Murbad,251487
IN,India,MH,Maharashtra,Naigaon (Khairgaon),276623
IN,India,MH,Maharashtra,Nandgaon Khandeshwar,276291
IN,India,MH,Maharashtra,Natepute,300384
IN,India,MH,Maharashtra,Nevasa,276320
IN,India,MH,Maharashtra,NIldoh,303130
IN,India,MH,Maharashtra,Niphad,276279
IN,India,MH,Maharashtra,Palam,276297
IN,India,MH,Maharashtra,Pali,300027
IN,India,MH,Maharashtra,Parner,275730
IN,India,MH,Maharashtra,Parshivni,276305
IN,India,MH,Maharashtra,Patan,251596
IN,India,MH,Maharashtra,Patoda.,275732
IN,India,MH,Maharashtra,Peth,276280
IN,India,MH,Maharashtra,Pimpalner Nagar Pnchayat,303133
IN,India,MH,Maharashtra,Poladpur,276636
IN,India,MH,Maharashtra,Pombhurna,276359
IN,India,MH,Maharashtra,Ralegaon,276308
IN,India,MH,Maharashtra,Renapur,276376
IN,India,MH,Maharashtra,Sadak-Arjuni,276368
IN,India,MH,Maharashtra,Sakri,276339
IN,India,MH,Maharashtra,Salekasa,276365
IN,India,MH,Maharashtra,Samudrapur,276379
IN,India,MH,Maharashtra,Sangrampur,276274
IN,India,MH,Maharashtra,Saoli,276356
IN,India,MH,Maharashtra,Seloo,276378
IN,India,MH,Maharashtra,Sengaon,296910
IN,India,MH,Maharashtra,Shahapur,276333
IN,India,MH,Maharashtra,Shendurni,277413
IN,India,MH,Maharashtra,Shirala,276349
IN,India,MH,Maharashtra,Shirdi,251542
IN,India,MH,Maharashtra,Shirur-Anantpal,276374
IN,India,MH,Maharashtra,Shirur Kasar,275726
IN,India,MH,Maharashtra,Sindewahi,276362
IN,India,MH,Maharashtra,Sindhakeda,259701
IN,India,MH,Maharashtra,Sironcha,276288
IN,India,MH,Maharashtra,Soyagaon,251436
IN,India,MH,Maharashtra,Surgana,251434
IN,India,MH,Maharashtra,Tala,276270
IN,India,MH,Maharashtra,Talasari,276315
IN,India,MH,Maharashtra,Tiwsa,276289
IN,India,MH,Maharashtra,Vabhave Vaibhavwadi Nagar Panchayat,263834
IN,India,MH,Maharashtra,Vadgaon Mawal,276637
IN,India,MH,Maharashtra,Vaduj,276416
IN,India,MH,Maharashtra,Vairag,300385
IN,India,MH,Maharashtra,Vikramgad,276316
IN,India,MH,Maharashtra,Wada,276318
IN,India,MH,Maharashtra,Wadvani,275731
IN,India,MH,Maharashtra,Washi,276312
IN,India,MH,Maharashtra,Yerkheda,303131
IN,India,MH,Maharashtra,Zari Zamani,272845
